scanner,		 hash value is 		, 150 
scannernavigate,		 hash value is 		, 14 
all_decodes,		 hash value is 		, 147 
code11,		 hash value is 		, 69 
code11-checkdigitcount,		 hash value is 		, 149 
code11-redundancy,		 hash value is 		, 71 
code11-reportCheckDigit,		 hash value is 		, 75 
code128,		 hash value is 		, 20 
code128-ean128,		 hash value is 		, 32 
code128-isbt128,		 hash value is 		, 67 
upce0-preamble,		 hash value is 		, 88 
upce0-reportcheckdigit,		 hash value is 		, 21 
upce0,		 hash value is 		, 155 
upce1-converttoupca,		 hash value is 		, 70 
upce1-preamble,		 hash value is 		, 5 
upce1-reportcheckdigit,		 hash value is 		, 107 
upce1,		 hash value is 		, 152 
upc_ean-bookland,		 hash value is 		, 99 
upc_ean-coupon,		 hash value is 		, 106 
upc_ean-lineardecode,		 hash value is 		, 23 
upc_ean-randomweightcheckdigit,		 hash value is 		, 10 
upc_ean-retrycount,		 hash value is 		, 93 
upc_ean-securitylevel,		 hash value is 		, 15 
upc_ean-supplemental2,		 hash value is 		, 3 
upc_ean-supplemental5,		 hash value is 		, 0 
upc_ean_supplementalmode,		 hash value is 		, 28 
quit,		 hash value is 		, 126 
applicationAdd,		 hash value is 		, 132 
applicationRemove,		 hash value is 		, 11 
applicationOpenInCurrent,		 hash value is 		, 120 
applicationClose,		 hash value is 		, 155 
keyboardAppear,		 hash value is 		, 12 
textEntryNavigate,		 hash value is 		, 112 
btnHomeUp,		 hash value is 		, 86 
btnHomeDown,		 hash value is 		, 45 
btnHomeSingle,		 hash value is 		, 135 
btnHomeDouble,		 hash value is 		, 48 
btnHomeLongPress,		 hash value is 		, 154 
btnHomeRepeat,		 hash value is 		, 107 
btnL1Up,		 hash value is 		, 49 
btnL1Down,		 hash value is 		, 55 
btnL1Single,		 hash value is 		, 96 
btnL1Double,		 hash value is 		, 55 
btnL1LongPress,		 hash value is 		, 48 
btnL1Repeat,		 hash value is 		, 62 
btnL2Up,		 hash value is 		, 0 
btnL2Down,		 hash value is 		, 170 
btnL2Single,		 hash value is 		, 117 
btnL2Double,		 hash value is 		, 49 
btnL2LongPress,		 hash value is 		, 71 
btnL2Repeat,		 hash value is 		, 84 
btnL3Up,		 hash value is 		, 147 
btnL3Down,		 hash value is 		, 6 
btnL3Single,		 hash value is 		, 123 
btnL3Double,		 hash value is 		, 171 
btnL3LongPress,		 hash value is 		, 61 
btnL3Repeat,		 hash value is 		, 87 
btnL4Up,		 hash value is 		, 142 
btnL4Down,		 hash value is 		, 51 
btnL4Single,		 hash value is 		, 72 
btnL4Double,		 hash value is 		, 19 
btnL4LongPress,		 hash value is 		, 127 
btnL4Repeat,		 hash value is 		, 28 
btnL5Up,		 hash value is 		, 99 
btnL5Down,		 hash value is 		, 23 
btnL5Single,		 hash value is 		, 122 
btnL5Double,		 hash value is 		, 114 
